# Logfile created on 2026-06-08 12:40:19 +0200 by logger.rb/v1.5.3
2026-06-08 12:40:19 +0200: Memory Usage (431712K) : empoly_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431712K) : ldmos_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431840K) : pbiwind_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431840K) : digisub_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431968K) : nodrc_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431968K) : text_drw has 10 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432096K) : via4_drw has 2 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432096K) : metal5_drw has 2 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432224K) : metal5_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432224K) : metal5_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432352K) : metal5_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432352K) : metal5_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432480K) : metal5_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432480K) : metal5_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432608K) : metal5_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432608K) : metal5_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432608K) : metal5_res has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432736K) : metal5_iprobe has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432736K) : metal5_diffprb has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432864K) : radhard_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432864K) : memcap_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432992K) : varicap_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (432992K) : flash_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433120K) : intbondvia_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433120K) : intbondmet_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433248K) : devbondvia_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433248K) : devbondmet_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433376K) : devtrench_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433376K) : redist_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433504K) : graphbot_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433504K) : graphtop_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433632K) : antvia1_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433632K) : antmetal2_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433632K) : graphcont_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433760K) : siwg_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433760K) : siwg_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433888K) : siwg_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (433888K) : sigrating_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434016K) : singrating_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434016K) : graphpas_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434144K) : emwind3_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434144K) : emwihv3_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434272K) : redbulay_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434272K) : smos_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434272K) : graphpad_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434400K) : polimide_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434400K) : polimide_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434528K) : recog_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434528K) : recog_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434656K) : recog_esd has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434656K) : recog_diode has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434784K) : recog_tsv has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434784K) : recog_iprobe has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434784K) : recog_diffprb has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434912K) : recog_pillar has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (434912K) : recog_sbump has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435040K) : recog_otp has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (435040K) : recog_pdiode has 0 polygons
